 Noint=           25
 U U sss 
          41
    0.200000    0.973630  -13.481772
    0.400000    0.905246   -9.285695
    0.600000    0.815561   -5.700568
    0.800000    0.720128   -3.638461
    1.000000    0.626372   -2.259606
    1.200000    0.539222   -0.690625
    1.400000    0.465205    0.886193
    1.600000    0.409379    1.909940
    1.800000    0.371935    2.226708
    2.000000    0.348779    2.018758
    2.200000    0.334046    1.537389
    2.400000    0.322274    0.977243
    2.600000    0.309551    0.454593
    2.800000    0.293753    0.023837
    3.000000    0.274257   -0.299434
    3.200000    0.251463   -0.520282
    3.400000    0.226336   -0.653073
    3.600000    0.200053   -0.715306
    3.800000    0.173759   -0.724313
    4.000000    0.148430   -0.695686
    4.200000    0.124813   -0.642542
    4.400000    0.103404   -0.575439
    4.600000    0.084476   -0.502431
    4.800000    0.068108   -0.429314
    5.000000    0.054233   -0.360034
    5.200000    0.042683   -0.297012
    5.400000    0.033225   -0.241474
    5.600000    0.025597   -0.193772
    5.800000    0.019528   -0.153663
    6.000000    0.014762   -0.120574
    6.200000    0.011062   -0.093662
    6.400000    0.008222   -0.072083
    6.600000    0.006064   -0.054994
    6.800000    0.004439   -0.041579
    7.000000    0.003227   -0.031184
    7.200000    0.002330   -0.023211
    7.400000    0.001672   -0.017116
    7.600000    0.001192   -0.012544
    7.800000    0.000845   -0.009116
    8.000000    0.000595   -0.006585
    8.200000    0.000417   -0.004735
 U U sds 
          41
    0.200000    0.022161   -0.601725
    0.400000    0.080839   -1.954431
    0.600000    0.158617   -3.304442
    0.800000    0.237074   -4.696440
    1.000000    0.299366   -6.346158
    1.200000    0.330251   -7.701557
    1.400000    0.321177   -7.981671
    1.600000    0.275261   -7.135532
    1.800000    0.204834   -5.656322
    2.000000    0.125124   -4.049000
    2.200000    0.049131   -2.620810
    2.400000   -0.014734   -1.492027
    2.600000   -0.062731   -0.668121
    2.800000   -0.094664   -0.103893
    3.000000   -0.112462    0.258073
    3.200000   -0.119006    0.470730
    3.400000   -0.117323    0.577643
    3.600000   -0.110136    0.612664
    3.800000   -0.099666    0.601018
    4.000000   -0.087603    0.560963
    4.200000   -0.075151    0.505370
    4.400000   -0.063123    0.443001
    4.600000   -0.052022    0.379708
    4.800000   -0.042125    0.319217
    5.000000   -0.033546    0.263760
    5.200000   -0.026288    0.214562
    5.400000   -0.020279    0.172030
    5.600000   -0.015401    0.136084
    5.800000   -0.011515    0.106288
    6.000000   -0.008474    0.082015
    6.200000   -0.006136    0.062532
    6.400000   -0.004369    0.047130
    6.600000   -0.003056    0.035103
    6.800000   -0.002097    0.025824
    7.000000   -0.001409    0.018749
    7.200000   -0.000924    0.013442
    7.400000   -0.000590    0.009470
    7.600000   -0.000364    0.006585
    7.800000   -0.000214    0.004490
    8.000000   -0.000119    0.002993
    8.200000   -0.000059    0.001959
 U U sfs 
          33
    0.200000   -0.003937    0.870030
    0.400000   -0.023290    5.974477
    0.600000   -0.033328   11.280453
    0.800000    0.005382    7.777123
    1.000000    0.076242   -0.225365
    1.200000    0.135783   -4.880335
    1.400000    0.163305   -5.746174
    1.600000    0.160579   -4.877831
    1.800000    0.138299   -3.592393
    2.000000    0.107396   -2.442195
    2.200000    0.075589   -1.572111
    2.400000    0.047240   -0.961895
    2.600000    0.024253   -0.550867
    2.800000    0.006980   -0.281665
    3.000000   -0.005074   -0.109635
    3.200000   -0.012777   -0.002939
    3.400000   -0.017085    0.060219
    3.600000   -0.018890    0.094505
    3.800000   -0.018950    0.109961
    4.000000   -0.017873    0.113335
    4.200000   -0.016121    0.109226
    4.400000   -0.014030    0.100764
    4.600000   -0.011839    0.090015
    4.800000   -0.009708    0.078342
    5.000000   -0.007739    0.066641
    5.200000   -0.005993    0.055538
    5.400000   -0.004497    0.045361
    5.600000   -0.003255    0.036327
    5.800000   -0.002255    0.028545
    6.000000   -0.001475    0.021987
    6.200000   -0.000886    0.016572
    6.400000   -0.000458    0.012191
    6.600000   -0.000160    0.008735
 U U dds 
          38
    0.200000    0.933466  -13.792010
    0.400000    0.755673  -10.373143
    0.600000    0.518162   -6.496528
    0.800000    0.279066   -2.871699
    1.000000    0.087823   -0.177990
    1.200000   -0.026300    0.914874
    1.400000   -0.061496    0.576174
    1.600000   -0.037957   -0.401586
    1.800000    0.015895   -1.353032
    2.000000    0.074996   -1.985451
    2.200000    0.123217   -2.273838
    2.400000    0.153743   -2.307743
    2.600000    0.166575   -2.189075
    2.800000    0.165377   -1.992146
    3.000000    0.154925   -1.761529
    3.200000    0.139553   -1.522640
    3.400000    0.122459   -1.290691
    3.600000    0.105622   -1.075584
    3.800000    0.090032   -0.883527
    4.000000    0.076032   -0.717537
    4.200000    0.063623   -0.577943
    4.400000    0.052682   -0.462920
    4.600000    0.043078   -0.369340
    4.800000    0.034710   -0.293611
    5.000000    0.027505   -0.232385
    5.200000    0.021401   -0.182724
    5.400000    0.016329   -0.142452
    5.600000    0.012204   -0.109825
    5.800000    0.008924   -0.083593
    6.000000    0.006375   -0.062722
    6.200000    0.004440   -0.046341
    6.400000    0.003005   -0.033715
    6.600000    0.001967   -0.024109
    6.800000    0.001234   -0.016980
    7.000000    0.000732   -0.011728
    7.200000    0.000397   -0.007919
    7.400000    0.000183   -0.005225
    7.600000    0.000052   -0.003347
 U U ddp 
          35
    0.200000    0.945037  -14.031333
    0.400000    0.792702  -10.949126
    0.600000    0.574275   -7.092430
    0.800000    0.328110   -3.159296
    1.000000    0.091035    0.414402
    1.200000   -0.107590    3.157718
    1.400000   -0.250743    4.778700
    1.600000   -0.335226    5.360180
    1.800000   -0.368552    5.216314
    2.000000   -0.363731    4.677937
    2.200000   -0.334652    3.988727
    2.400000   -0.293167    3.292605
    2.600000   -0.247912    2.659015
    2.800000   -0.204324    2.113209
    3.000000   -0.165268    1.658343
    3.200000   -0.131830    1.287752
    3.400000   -0.104024    0.991148
    3.600000   -0.081324    0.757238
    3.800000   -0.063009    0.575058
    4.000000   -0.048354    0.434566
    4.200000   -0.036711    0.326945
    4.400000   -0.027532    0.244902
    4.600000   -0.020366    0.182534
    4.800000   -0.014836    0.135213
    5.000000   -0.010627    0.099376
    5.200000   -0.007473    0.072382
    5.400000   -0.005148    0.052164
    5.600000   -0.003467    0.037116
    5.800000   -0.002275    0.026069
    6.000000   -0.001447    0.018041
    6.200000   -0.000885    0.012272
    6.400000   -0.000513    0.008218
    6.600000   -0.000274    0.005388
    6.800000   -0.000127    0.003429
    7.000000   -0.000040    0.002122
 U U ddd
          33
    0.200000    0.981528  -14.836056
    0.400000    0.928701  -13.713668
    0.600000    0.848277  -12.153231
    0.800000    0.749182  -10.387674
    1.000000    0.640833   -8.569246
    1.200000    0.531959   -6.823990
    1.400000    0.429662   -5.264451
    1.600000    0.338744   -3.959964
    1.800000    0.261588   -2.924707
    2.000000    0.198557   -2.133454
    2.200000    0.148627   -1.543675
    2.400000    0.110030   -1.110905
    2.600000    0.080752   -0.796341
    2.800000    0.058854   -0.569045
    3.000000    0.042640   -0.405531
    3.200000    0.030721   -0.288277
